transaction_id,customer_id,merchant_id,date,amount,description,category,is_fraud,cleaned_description,day_of_week,hour,is_weekend,prev_tx_time,time_since_prev_tx,customer_avg_amount,customer_std_amount,amount_zscore,merchant_frequency
TXN_42f87fa3f45647dc8c9c8599732ce935,CUST_0010506c,MERCH_988c72f4,2024-03-26 12:31:51.265166,156.53,Medical 988c72f4,Healthcare,False,medical c f,1,12,0,,4656.0,156.53,12.784490603852769,-3.885780586188048e-16,1
TXN_89b173bddf8e4409b325926b05bf2e11,CUST_00cbc6f9,MERCH_57c92ba9,2024-03-17 12:31:51.265166,62.86,Service from 57c92ba9,Other,False,service c ba,6,12,1,,4656.0,62.86,12.784490603852769,-3.885780586188048e-16,1
TXN_978e0f525e044d0f81f3780163713ed6,CUST_0135ada4,MERCH_0e63e91e,2024-06-20 12:31:51.265166,127.29,Auto parts 0e63e91e,Automotive,False,auto parts e e e,3,12,0,,4656.0,127.29,12.784490603852769,-3.885780586188048e-16,1
TXN_85ffb97578184160b36c57438132b934,CUST_01748375,MERCH_3c4c08fa,2025-02-27 12:31:51.265166,51.74,Internet 3c4c08fa,Utilities,False,internet c c fa,3,12,0,,4656.0,51.74,12.784490603852769,-3.885780586188048e-16,1
TXN_09720831c5db465493ad8f4ec33b6a7d,CUST_0180422d,MERCH_43e33eff,2024-06-12 12:31:51.265166,95.83,Payment to 43e33eff,Other,False,payment e eff,2,12,0,,4656.0,95.83,12.784490603852769,-3.885780586188048e-16,1
TXN_1a5f304d2a704389804055685c55a204,CUST_01a1c753,MERCH_c2976334,2024-11-03 12:31:51.265166,200.71,Food delivery c2976334,Food,False,food delivery c,6,12,1,,4656.0,200.71,12.784490603852769,-3.885780586188048e-16,1
TXN_a74d214f9f194ced9b5a3ba6d99b294d,CUST_01add575,MERCH_1dd1ac35,2024-06-15 12:31:51.265166,147.71,Services 1dd1ac35,Services,False,services dd ac,5,12,1,,4656.0,147.71,12.784490603852769,-3.885780586188048e-16,1
TXN_7e4f1a28b8ea48129575a27a8087227b,CUST_01dbf21e,MERCH_4405c651,2024-04-17 12:31:51.265166,42.09,Utility payment 4405c651,Utilities,False,utility payment c,2,12,0,,4656.0,42.09,12.784490603852769,-3.885780586188048e-16,1
TXN_0f4fcb8709b74961af8f81dbef92bffb,CUST_01de878d,MERCH_39ba35e6,2024-08-13 12:31:51.265166,4.03,Groceries at 39ba35e6,Food,False,groceries ba e,1,12,0,,4656.0,4.03,12.784490603852769,-3.885780586188048e-16,1
TXN_ff68620eea364184b6d3a0dd6d85a8b1,CUST_02178669,MERCH_0f4b8748,2024-03-29 12:31:51.265166,65.85,Medical 0f4b8748,Healthcare,False,medical f b,4,12,0,,4656.0,65.85,12.784490603852769,-3.885780586188048e-16,1
TXN_a54db191665440099a9e833785f19ab6,CUST_0247615e,MERCH_a6e1bbda,2025-02-13 12:31:51.265166,202.77,Purchase at a6e1bbda Store,Retail,False,purchase e bbda store,3,12,0,,4656.0,202.77,12.784490603852769,-3.885780586188048e-16,1
TXN_8158f1341a0044afb13316bea038eb79,CUST_02770aa5,MERCH_bfa6bdc4,2024-07-06 12:31:51.265166,70.4,Software bfa6bdc4,Technology,False,software bfa bdc,5,12,1,,4656.0,70.4,12.784490603852769,-3.885780586188048e-16,1
TXN_8e8077e9e6d747598622bed36da3d610,CUST_02a0a7b4,MERCH_b4d5c4bd,2024-03-21 12:31:51.265166,167.26,Concert b4d5c4bd,Entertainment,False,concert b c bd,3,12,0,,4656.0,167.26,12.784490603852769,-3.885780586188048e-16,1
TXN_37afdf3fb7d84819920ea6077d0be797,CUST_02a26497,MERCH_bd8f0573,2024-06-26 12:31:51.265166,164.46,Utility payment bd8f0573,Utilities,False,utility payment bd f,2,12,0,,4656.0,164.46,12.784490603852769,-3.885780586188048e-16,1
TXN_a38a1f8ce8834a47a5758bb1f727ce13,CUST_02ff9fb0,MERCH_7f16abe3,2024-04-02 12:31:51.265166,50.76,Flight booking 7f16abe3,Travel,False,flight booking f abe,1,12,0,,4656.0,50.76,12.784490603852769,-3.885780586188048e-16,1
TXN_9c735a1df22c459894024a1e59c854f5,CUST_03261197,MERCH_a53c0b01,2024-09-19 12:31:51.265166,205.64,Medical a53c0b01,Healthcare,False,medical c b,3,12,0,,4656.0,205.64,12.784490603852769,-3.885780586188048e-16,1
TXN_87ed599ab73c4324b70db5905e61e313,CUST_03904cb3,MERCH_dffdc072,2024-09-30 12:31:51.265166,190.27,Restaurant dffdc072,Food,False,restaurant dffdc,0,12,0,,4656.0,190.27,12.784490603852769,-3.885780586188048e-16,1
TXN_d44e787771ae4369a2bdf386a5650025,CUST_03daa6f4,MERCH_1bd015a0,2024-11-09 12:31:51.265166,220.08,Consulting 1bd015a0,Services,False,consulting bd,5,12,1,,4656.0,220.08,12.784490603852769,-3.885780586188048e-16,1
TXN_cca74d6cc6004eeb9563a5e885aa434a,CUST_03f0304d,MERCH_4b5041ff,2024-12-01 12:31:51.265166,71.63,Utility payment 4b5041ff,Utilities,False,utility payment b ff,6,12,1,,4656.0,71.63,12.784490603852769,-3.885780586188048e-16,1
TXN_daeb29160ddc4451aac79e5df5f46bc1,CUST_03fd1ff5,MERCH_b7c8e0f4,2024-12-12 12:31:51.265166,138.64,Food delivery b7c8e0f4,Food,False,food delivery b c e f,3,12,0,,4656.0,138.64,12.784490603852769,-3.885780586188048e-16,1
TXN_3ea2947950dc4f699e8fe6d44537ac23,CUST_0459ed1d,MERCH_b0f08874,2025-01-25 12:31:51.265166,84.26,Phone bill b0f08874,Utilities,False,phone bill b f,5,12,1,,4656.0,84.26,12.784490603852769,-3.885780586188048e-16,1
TXN_83952ac1edcd4dd88c18f217c23eea5d,CUST_045c7365,MERCH_5fba8c36,2025-03-03 12:31:51.265166,39.1,Purchase at 5fba8c36 Store,Retail,False,purchase fba c store,0,12,0,,4656.0,39.1,12.784490603852769,-3.885780586188048e-16,1
TXN_e6899fd60ecd4d30a7d558858cbb3816,CUST_04aa6fdf,MERCH_d287ff85,2024-09-01 12:31:51.265166,87.22,Services d287ff85,Services,False,services ff,6,12,1,,4656.0,87.22,12.784490603852769,-3.885780586188048e-16,1
TXN_af8340fd3eb44869b8c2374eea587f39,CUST_04d362a9,MERCH_f45c35a5,2024-11-22 12:31:51.265166,69.46,Payment to f45c35a5,Other,False,payment f c,4,12,0,,4656.0,69.46,12.784490603852769,-3.885780586188048e-16,1
TXN_6e92d5414f854f5db6ddd6f8d13b30f4,CUST_04df577e,MERCH_486257c1,2024-08-17 12:31:51.265166,133.1,Subscription 486257c1,Entertainment,False,subscription c,5,12,1,,4656.0,133.1,12.784490603852769,-3.885780586188048e-16,1
TXN_564d2204f8054e1d91f63b65a4330625,CUST_04fd5bcb,MERCH_c9a9d22b,2024-09-08 12:31:51.265166,138.17,Medical c9a9d22b,Healthcare,False,medical c b,6,12,1,,4656.0,138.17,12.784490603852769,-3.885780586188048e-16,1
TXN_4ac8005b8fcb46d6bfdf12382ecb6bfe,CUST_05dd2645,MERCH_729d429a,2024-12-28 12:31:51.265166,179.86,Internet 729d429a,Utilities,False,internet,5,12,1,,4656.0,179.86,12.784490603852769,-3.885780586188048e-16,1
TXN_850c6d72f68e4184b869157b1cdef3c3,CUST_05fbda26,MERCH_fd56c5e2,2024-05-31 12:31:51.265166,66.21,Restaurant fd56c5e2,Food,False,restaurant fd c e,4,12,0,,4656.0,66.21,12.784490603852769,-3.885780586188048e-16,1
TXN_ef3396493fd849d8bb8bec5b1fcfd004,CUST_06024c05,MERCH_233912dd,2024-11-13 12:31:51.265166,49.23,Consulting 233912dd,Services,False,consulting dd,2,12,0,,4656.0,49.23,12.784490603852769,-3.885780586188048e-16,1
TXN_3fde79d8795c4605a6280e2b089e62b4,CUST_0648f18e,MERCH_52921861,2024-04-19 12:31:51.265166,172.46,Tech purchase 52921861,Technology,False,tech purchase,4,12,0,,4656.0,172.46,12.784490603852769,-3.885780586188048e-16,1
TXN_3c9e55236fd64ff1aebf3bdeb5e394dd,CUST_065e7637,MERCH_2d2b7b54,2024-07-09 12:31:51.265166,72.59,Restaurant 2d2b7b54,Food,False,restaurant b b,1,12,0,,4656.0,72.59,12.784490603852769,-3.885780586188048e-16,1
TXN_6537fa7597114fecb4f2f24601e9699b,CUST_06abaf68,MERCH_58edc1fc,2024-11-26 12:31:51.265166,151.8,Car repair 58edc1fc,Automotive,False,car repair edc fc,1,12,0,,4656.0,151.8,12.784490603852769,-3.885780586188048e-16,1
TXN_742ac906f0fc4b65a44d03f24509ab2f,CUST_06ae72c5,MERCH_3c27cd9f,2024-07-21 12:31:51.265166,98.36,Electronics 3c27cd9f,Technology,False,electronics c cd f,6,12,1,,4656.0,98.36,12.784490603852769,-3.885780586188048e-16,1
TXN_cd6b254981d64b86b2eee8111ef5ef56,CUST_06f4e583,MERCH_df8e58be,2024-09-24 12:31:51.265166,126.01,Phone bill df8e58be,Utilities,False,phone bill df e,1,12,0,,4656.0,126.01,12.784490603852769,-3.885780586188048e-16,1
TXN_60c8dbd50956414f8746d3da94f040d5,CUST_06fb531b,MERCH_cccef54e,2024-05-23 12:31:51.265166,174.08,Gas station cccef54e,Automotive,False,gas station cccef e,3,12,0,,4656.0,174.08,12.784490603852769,-3.885780586188048e-16,1
TXN_08950d739ae74f499dd2c6985302cd56,CUST_079d44dc,MERCH_3127ead9,2024-09-10 12:31:51.265166,202.89,Shopping at 3127ead9,Retail,False,shopping ead,1,12,0,,4656.0,202.89,12.784490603852769,-3.885780586188048e-16,1
TXN_35324b5f27564a2dad7a9e27261764b4,CUST_07b8f997,MERCH_a53c0b01,2025-01-13 12:31:51.265166,56.99,Pharmacy a53c0b01,Healthcare,False,pharmacy c b,0,12,0,,4656.0,56.99,12.784490603852769,-3.885780586188048e-16,1
TXN_22e46ef7eaf0494490468c8745677ab3,CUST_083173c2,MERCH_51e80144,2024-06-18 12:31:51.265166,58.85,Electronics 51e80144,Technology,False,electronics e,1,12,0,,4656.0,58.85,12.784490603852769,-3.885780586188048e-16,1
TXN_8db9511a98a24351bb5b5f854f8fe0bd,CUST_089e49d2,MERCH_2d677f6a,2025-03-08 12:31:51.265166,113.1,2d677f6a Retail,Retail,False,f retail,5,12,1,,4656.0,113.1,12.784490603852769,-3.885780586188048e-16,1
TXN_d288b54fced047ccb09f9d3db7b57858,CUST_08c3f6a7,MERCH_0107d0aa,2024-09-25 12:31:51.265166,170.44,Gas station 0107d0aa,Automotive,False,gas station aa,2,12,0,,4656.0,170.44,12.784490603852769,-3.885780586188048e-16,1
